Block,Treatment,Plant,ERM,Natal Fluid,Placenta,Solution atm%,gN in solution,Sping.pH,Fall.pH,Spring Net N Min,Fall Net N Min,Fall Net N Min Log,Spring Net NO3,Fall Net NO3,Spring Net NH4,Fall Net NH4,Fall Net NH4 Log,Spring SIR CO2/Hour,Fall SIR CO2/Hour,Spring CMin CO2/Hour,Fall CMin CO2/Hour,Spring Leaf d15N,Fall Leaf d15N,Spring Leaf d13C,Fall Leaf d13C,Spring Leaf PrecN,Fall Leaf PrecN,Spring Leaf PrecC,Fall Leaf PrecC,Spring Leaf C:N,Fall Leaf C:N,Spring Leaf N Stock g.m2,Fall Leaf N Stock g.m2,Spring Leaf C Stock g.m2,Fall Leaf C Stock g.m2,Spring.Leaf.15N.at.Prec,Fall Leaf.15N.at.Prec,Mass Solution Rec Leaf,Prec Solution Rec Leaf,Spring Stem d15N,Fall Stem d15N,Spring Stem d13C,Fall Stem d13C,Spring Stem PrecN,Fall Stem PrecN,Spring Stem PrecC,Fall Stem PrecC,Spring Stem C:N,Fall Stem C:N,Spring Stem N Stock g.m2,Fall Stem N Stock g.m2,Spring Stem C Stock g.m2,Fall Stem C Stock g.m2,Spring.Stem.15N.at.Prec,Fall Stem.15N.at.Prec,Mass Solution Rec Stem,Prec Solution Rec Stem,Spring FineRoot d15N,Fall FineRoot d15N,Spring FineRoot d13C,Fall FineRoot d13C,Spring FineRoot PrecN,Fall FineRoot PrecN,Spring FineRoot PrecC,Fall FineRoot PrecC,Spring FineRoot C:N,Fall FineRoot C:N,Spring FineRoot N Stock g.m2,Fall FineRoot N Stock g.m2,Spring FineRoot C Stock g.m2,Fall FineRoot C Stock g.m2,Spring.FineRoot.15N.at.Prec,Fall FineRoot.15N.at.Prec,Mass Solution Rec FineRoot,Prec Solution Rec FineRoot,Spring CoarseRoot d15N,Fall CoarseRoot d15N,Spring CoarseRoot d13C,Fall CoarseRoot d13C,Spring CoarseRoot PrecN,Fall CoarseRoot PrecN,Spring CoarseRoot PrecC,Fall CoarseRoot PrecC,Spring CoarseRoot C:N,Fall CoarseRoot C:N,Spring CoarseRoot N Stock g.m2,Fall CoarseRoot N Stock g.m2,Spring CoarseRoot C Stock g.m2,Fall CoarseRoot C Stock g.m2,Spring.CoarseRoot.15N.at.Prec,Fall CoarseRoot.15N.at.Prec,Mass Solution Rec CoarseRoot,Prec Solution Rec CoarseRoot,Spring MAOM d15N,Fall MAOM d15N,Spring MAOM d13C,Fall MAOM d13C,Spring MAOM PrecN,Fall MAOM PrecN,Spring MAOM PrecC,Fall MAOM PrecC,Spring MAOM C:N,Fall MAOM C:N,Spring MAOM N Stock g.m2,Fall MAOM N Stock g.m2,Spring MAOM C Stock g.m2,Fall MAOM C Stock g.m2,Spring.MAOM.15N.at.Prec,Fall MAOM.15N.at.Prec,Mass Solution Rec MAOM,Prec Solution Rec MAOM,Spring POM d15N,Fall POM d15N,Spring POM d13C,Fall POM d13C,Spring POM PrecN,Fall POM PrecN,Spring POM PrecC,Fall POM PrecC,Spring POM C:N,Fall POM C:N,Spring POM N Stock g.m2,Fall POM N Stock g.m2,Spring POM C Stock g.m2,Fall POM C Stock g.m2,Spring.POM.15N.at.Prec,Fall POM.15N.at.Prec,Mass Solution Rec POM,Prec Solution Rec POM,Spring Total N Stock g.m2,Fall Total N Stock g.m2,Spring Total C Stock g.m2,Fall Total C Stock g.m2,Foliar.Biomass g.m2,Foliar.Biomass g/plot,Stem.Biomass g.m2,Stem.Biomass g/plot,FineRoot.BiomassBD g.m2,FineRoot.BiomassBD g/plot,CoarseRoot.Biomass.BD g.m2,CoarseRoot.Biomass.BD g/plot,MAOM.Mass.Spring g.m2,MAOM.Mass.Spring g/plot,MAOM.Mass.Fall g.m2,MAOM.Mass.Fall g/plot,POM.Mass.Sprin.g.m2,POM.Mass.Sprin.g./plot,POM.Mass.Fallg.m2,POM.Mass.Fall g/plot,Total Eco N Recovery,Prec Eco N Recovery,Total Eco C,Total Eco N,
B1,C,EcM,0.0000,0.0000,0.0000,98.0000,0.0750,4.6500,5.2100,1.5722,2.3930,3.3930,0.0060,0.2910,1.5660,2.1020,3.1020,7.6814,10.8975,770.7888,723.8549,-3.2453,563.9709,-31.4189,-32.0305,2.1409,1.7301,44.5936,47.5595,20.8290,27.4896,6.7996,5.4948,141.6292,151.0491,0.365413,0.5720,0.0029,3.8597,-3.5961,284.7240,-31.8234,-30.0351,0.3740,0.1787,48.0318,47.6098,128.4226,266.3581,6.3941,3.0558,821.1520,813.9365,0.365285,0.4706,0.0008,1.0983,-1.8291,2269.1163,-30.3387,-30.1087,0.9728,0.8393,47.9585,51.9912,49.2989,61.9447,0.4496,0.3879,22.1657,24.0296,0.365932,1.1873,0.0008,1.0878,-0.7367,917.3555,-30.9625,-29.4688,0.8394,0.8792,49.3966,48.9971,58.8450,55.7319,1.3504,1.4143,79.4654,78.8228,0.366234,0.7017,0.0012,1.6199,2.4928,157.6401,-27.5324,-29.0765,0.7610,0.7344,16.3885,17.7648,21.5353,24.1883,233.032626,188.9956973,5021.924898,4580.59095,0.367406,0.4245,0.0276,36.8253,0.4512,362.8343,-28.3468,-28.3908,0.2583,0.52450,6.25739,13.89271,24.22615,26.4873,76.82239636,181.637115,1873.789528,4813.643277,0.366659,0.4995,0.0617848,82.3797526,309.85502,370.6328123,6895.71443,9394.234227,317.60000,79.40000,1709.60000,427.40000,46.21860,11.55465,160.87221,40.21805,30621.49328,7655.37332,25733.65702,6433.414255,29742.69091,7435.672728,34630.52717,8657.631793,0.095153084,126.8707788,10462.0722364,380.9856,
B1,NF,EcM,0.0000,1.0000,0.0000,5.0000,7.6620,4.2500,4.6100,1.2700,2.2742,3.2742,-0.0090,0.0660,1.2790,2.2080,3.2080,15.8404,11.7208,759.0093,1069.5598,-4.0516,603.5029,-31.2844,-32.8442,2.0054,2.0495,45.2880,45.9513,22.5826,22.4208,11.7599,12.0183,265.5688,269.4585,0.365118,0.5864,0.1434,1.8722,-2.9374,1988.9210,-32.7219,-29.9717,0.3793,0.3215,47.9142,47.0359,126.3323,146.2885,14.6945,12.4573,1856.3867,1822.3603,0.365526,1.0867,0.4846,6.3253,-2.1470,3099.7492,-29.6394,-28.3535,0.7119,1.0340,47.4730,51.0404,66.6845,49.3636,0.8126,1.1802,54.1885,58.2606,0.365816,1.4843,0.0712,0.9294,-1.0177,1031.2071,-28.7848,-27.9385,0.7729,0.7625,41.7450,47.2081,54.0091,61.9115,0.7587,0.7485,40.9793,46.3422,0.366131,0.7431,0.0152,0.1987,3.3725,250.9176,-28.1239,-29.3787,0.5547,0.8865,12.2410,18.9082,22.0678,21.3287,105.0614244,183.904279,2310.707369,3920.757659,0.367728,0.4586,0.9016,11.7666,0.4681,470.3903,-28.8459,-28.4653,0.3776,0.40018,9.55952,11.04909,25.31513,27.6104,77.28085551,74.68019788,1964.663453,2052.679102,0.366665,0.5388,0.6935180,9.0514120,182.34228,258.5844769,4275.37082,5973.436761,586.40000,146.60000,3874.40000,968.60000,114.14593,28.53648,98.16579,24.54145,18940.22433,4735.05608,20744.74952,5186.18738,20465.2443,5116.311075,18660.71911,4665.179778,2.309597238,30.14357994,8169.8583907,284.9888,
B1,P,EcM,0.0000,1.0000,1.0000,5.0000,7.6620,4.9200,5.2200,0.4670,1.0186,2.0186,0.0140,0.1730,0.4530,0.8460,1.8460,3.9345,4.8085,188.9174,310.9190,-2.8546,3121.0205,-30.7381,-32.1787,2.0513,2.4506,46.5491,47.6226,22.6930,19.4333,1.9118,2.2839,43.3838,44.3843,0.365556,1.4919,0.1388,1.8111,-3.2672,2559.2457,-33.5320,-30.1261,0.4427,0.5264,48.8245,48.6649,110.2901,92.4540,2.0860,2.4803,230.0611,229.3091,0.365405,1.2912,0.1239,1.6166,-2.4032,2749.3293,-30.1344,-27.5858,0.9779,1.5055,43.4923,46.5427,44.4741,30.9159,1.0577,1.6283,47.0420,50.3414,0.365722,1.3592,0.0873,1.1390,-1.3266,2417.9131,-29.3958,-29.7066,0.8363,0.2988,44.8046,17.2966,53.5770,57.8875,0.2896,0.1035,15.5166,5.9901,0.366018,1.2448,0.0049,0.0640,4.0596,274.2040,-27.4513,-28.1021,0.3288,0.2687,6.7442,7.2997,20.5091,27.1649,122.2758984,86.25443168,2491.328669,2343.172638,0.36798,0.4671,0.4613,6.0205,-0.5232,1236.3746,-28.4320,-28.5980,0.0395,0.10409,1.34105,3.21631,33.92424,30.8987,21.34659959,61.50932291,702.0131412,1890.776497,0.366302,0.8177,1.4977504,19.5478065,143.62250,147.7637546,3193.34181,4233.949135,93.20000,23.30000,471.20000,117.80000,108.16170,27.04042,34.63177,8.65794,37184.00998,9296.00250,32098.25531,8024.563828,54001.01086,13500.25272,59086.76552,14771.69138,2.313846384,30.19903743,4563.9740440,154.2597,
B1,C,ErM,1.0000,0.0000,0.0000,98.0000,0.0750,4.4000,4.7900,0.0122,0.5300,1.5300,-0.0120,0.0330,0.0240,0.4970,1.4970,8.0334,7.8394,403.7162,487.1790,-5.2655,335.3989,-31.4528,-32.3495,0.8669,1.2083,47.0938,47.4352,54.3233,39.2590,11.4641,15.9781,622.7684,627.2826,0.364673,0.4890,0.0051,6.7815,-6.3678,359.9021,-32.1531,-30.6086,0.3355,0.3994,48.1192,51.0573,143.4148,127.8257,1.7273,2.0563,247.7176,262.8428,0.364269,0.4979,0.0007,0.9381,-0.3780,401.9519,-28.9268,-29.4238,0.8093,0.9273,41.0696,49.1791,50.7485,53.0362,2.3637,2.7084,119.9565,143.6429,0.366464,0.5132,0.0010,1.3567,-1.7765,60.5238,-29.5138,-28.2376,0.3704,0.6036,45.6821,47.8209,123.3346,79.2269,0.6889,1.1227,84.9675,88.9455,0.365852,0.3889,0.0001,0.0884,3.1072,212.8498,-27.3825,-27.5806,0.3666,0.3540,7.9312,10.7941,21.6365,30.4928,124.9913127,116.5014172,2693.704806,3554.380932,0.367631,0.4447,0.0230,30.6366,0.5838,254.7043,-28.5665,-27.8262,0.1745,0.28511,4.94024,9.05332,28.30371,31.7536,91.77597266,153.2932013,2576.499748,4892.908215,0.366707,0.4600,0.0366114,48.8151439,216.76729,269.7946185,5270.20455,8447.289147,1322.40000,330.60000,514.80000,128.70000,292.08115,73.02029,185.99722,46.49930,34097.52919,8524.38230,32910.93455,8227.733638,52581.62751,13145.40688,53768.22215,13442.05554,0.066462366,88.61648811,9570.0029964,291.6600,
B1,NF,ErM,1.0000,1.0000,0.0000,5.0000,7.6620,4.5900,4.9000,0.3122,1.2126,2.2126,-0.0290,0.0510,0.3410,1.1610,2.1610,7.4994,9.6228,370.4666,685.1015,-4.2121,2871.0991,-30.1888,-32.6500,0.7228,1.2903,46.9185,47.5854,64.9107,36.8788,2.4055,4.2942,156.1447,158.3642,0.365059,1.4027,0.2403,3.1368,-5.4977,2717.8835,-31.8933,-29.7980,0.3412,0.4425,48.1180,53.8163,141.0142,121.6061,1.9723,2.5579,278.1223,311.0584,0.364588,1.3480,0.1357,1.7706,35.8634,1598.2309,-29.2924,-29.1355,0.9175,1.0652,36.8869,50.3662,40.2046,47.2848,1.0940,1.2701,43.9835,60.0561,0.379739,0.9461,0.0389,0.5080,55.0964,1328.5634,-30.2878,-28.4357,0.4912,1.0199,47.3497,51.6403,96.4017,50.6350,0.9368,1.9452,90.3097,98.4933,0.386758,0.8511,0.0489,0.6389,11.3595,297.6122,-27.0962,-28.2947,0.2794,0.4147,5.5325,9.7384,19.8027,23.4819,101.1774997,148.4308019,1991.825644,3471.688799,0.370682,0.4756,0.8411,10.9782,6.7625,289.7749,-28.4012,-28.9583,0.0725,0.12392,2.19741,3.23205,30.29747,26.0823,46.20097253,79.4490495,1401.380664,2051.952852,0.368969,0.4728,0.4453801,5.8128541,147.37847,227.8798514,3393.20631,5523.641651,332.80000,83.20000,578.00000,144.50000,119.23888,29.80972,190.72938,47.68234,36215.01171,9053.75293,35790.60617,8947.651543,63699.1211,15924.78028,64123.52664,16030.88166,1.750402890,22.84528599,6151.6136562,237.9472,
B1,P,ErM,1.0000,1.0000,1.0000,5.0000,7.6620,4.4400,4.7000,0.3951,1.6329,2.6329,-0.0160,0.0600,0.4110,1.5730,2.5730,11.6684,14.0913,516.1114,907.8302,-3.8014,1006.9233,-31.7813,-32.8963,0.6539,1.1011,47.6130,48.0512,72.8177,43.6394,1.5954,2.6867,116.1757,117.2449,0.365209,0.7326,0.0532,0.6949,-5.4548,291.7046,-32.0976,-31.3957,0.4007,0.4921,48.5722,50.2522,121.2283,102.1260,2.0322,2.4957,246.3580,254.8792,0.364604,0.4731,0.0146,0.1906,3.6793,1009.3980,-29.3540,-28.5324,1.0174,1.3065,46.3938,51.4398,45.5993,39.3709,2.5267,3.2447,115.2170,127.7484,0.36795,0.7335,0.0640,0.8355,17.1434,984.1918,-29.3509,-27.7313,0.6921,0.5071,43.6572,47.7060,63.0834,94.0676,0.5942,0.4354,37.4831,40.9594,0.372808,0.7260,0.0083,0.1084,2.1423,462.8900,-28.1837,-28.1380,0.4486,0.4989,10.2053,13.7526,22.7490,27.5675,89.41335431,98.18183474,2033.027673,2715.956701,0.367299,0.5359,0.8935,11.6615,-0.2749,504.2450,-28.5758,-27.9263,0.3620,0.64908,9.77574,20.06646,27.00586,30.9151,102.5505255,185.5157348,2776.306388,5744.671498,0.366393,0.5511,1.8491503,24.1340824,191.96388,283.6975695,4809.33406,8460.628199,244.00000,61.00000,507.20000,126.80000,248.34537,62.08634,85.85793,21.46448,19931.64385,4982.91096,19680.84566,4920.211415,28329.65702,7082.414255,28580.45521,7145.113803,2.882827171,37.62505853,9001.4600992,292.5601,
B2,C,EcM,0.0000,0.0000,0.0000,98.0000,0.0750,4.4900,4.6300,0.7056,1.4153,2.4153,-0.0400,0.0530,0.7460,1.3630,2.3630,12.5915,9.5902,985.1750,716.7133,-3.4915,260.2508,-31.8604,-32.3822,1.6507,2.0955,46.0212,47.3187,27.8793,22.5813,4.9060,6.2278,136.7751,140.6312,0.365323,0.4617,0.0015,2.0482,-3.2294,363.3944,-32.2824,-30.5800,0.4683,0.4254,48.1791,48.7542,102.8881,114.6171,6.3328,5.7526,651.5736,659.3517,0.365419,0.4992,0.0020,2.6269,-1.5451,2025.2291,-30.1036,-28.1552,1.0533,1.2198,44.3631,50.1941,42.1168,41.1499,2.0506,2.3747,86.3653,97.7171,0.366036,1.0998,0.0045,5.9487,-3.2304,581.9596,-30.5363,-28.3857,0.6190,0.8789,41.3565,49.1459,66.8101,55.9185,0.3484,0.4946,23.2741,27.6577,0.365318,0.5795,0.0003,0.3617,3.7657,140.9322,-27.8318,-27.7035,0.6102,0.7166,12.9660,16.4381,21.2483,22.9391,159.496983,190.5105963,3397.946247,4359.996902,0.367895,0.4184,0.0246,32.8293,1.3857,234.4627,-28.1979,-28.3959,0.2210,0.17834,5.68009,5.51594,25.69803,30.9292,80.08869067,63.80823698,2065.355548,1968.285493,0.367001,0.4526,0.0139846,18.6461532,239.58567,254.3188333,5463.30180,6328.282395,297.20000,74.30000,1352.40000,338.10000,194.67833,48.66958,56.27663,14.06916,26138.04806,6534.51202,26585.34696,6646.33674,36234.30787,9058.576968,35787.00896,8946.75224,0.046845662,62.46088217,7253.6400864,269.1685,
B2,NF,EcM,0.0000,1.0000,0.0000,5.0000,7.6620,5.0300,5.2600,0.5860,1.5209,2.5209,0.0040,0.0850,0.5820,1.4350,2.4350,7.3321,9.8292,328.5187,749.5143,-3.9210,2548.9501,-32.6942,-33.2511,1.7818,2.5758,46.9203,47.8999,26.3336,18.5962,2.4303,3.5134,63.9993,65.3354,0.365165,1.2876,0.1748,2.2814,-4.3655,2407.3862,-33.0525,-32.2482,0.5294,0.4682,47.8988,49.4439,90.4701,105.6090,2.9077,2.5712,263.0600,271.5456,0.365003,1.2369,0.1209,1.5781,7.0259,2427.1993,-27.9195,-28.7604,1.0713,1.0523,44.7314,49.3052,41.7552,46.8549,1.9403,1.9059,81.0168,89.3007,0.369176,1.2440,0.0900,1.1747,4.6003,1551.5008,-27.6400,-28.9532,0.8008,0.8614,46.3672,48.2775,57.9014,56.0478,0.6053,0.6511,35.0477,36.4916,0.368197,0.9319,0.0198,0.2586,3.1221,304.9540,-27.6369,-27.1718,0.5101,0.4944,9.9336,9.5118,19.4751,19.2402,189.9774556,164.3113587,3687.291568,3157.468916,0.367658,0.4783,0.9811,12.8050,1.0536,513.2625,-28.2420,-28.7521,0.2302,0.15147,6.16930,3.74636,26.79720,24.7332,99.38578473,71.47583997,2676.534903,1745.614573,0.366879,0.5544,0.7232206,9.4390734,289.36324,235.7871987,6363.82647,4903.083489,136.40000,34.10000,549.20000,137.30000,181.11833,45.27958,75.58723,18.89681,37245.36937,9311.34234,33236.5149,8309.128725,43169.91779,10792.47945,47178.77226,11794.69307,2.109872908,27.53688894,5365.7569334,244.4288,
B2,P,EcM,0.0000,1.0000,1.0000,5.0000,7.6620,4.7700,5.1100,2.2283,2.3734,3.3734,0.0040,0.5760,2.2240,1.7970,2.7970,14.6096,12.4209,957.2840,1498.0884,-3.3729,1999.7444,-31.3819,-31.1504,1.8174,2.3307,45.7678,47.4886,25.1830,20.3754,2.0355,2.6104,51.2600,53.1873,0.365366,1.0906,0.1021,1.3328,-4.0626,1976.7284,-30.8747,-29.6313,0.4762,0.5607,47.5360,50.8045,99.8207,90.6083,2.9773,3.5055,297.1954,317.6300,0.365114,1.0823,0.1356,1.7700,2.6507,1469.8961,-29.3591,-29.0681,0.6790,1.1129,47.9326,50.7911,70.5897,45.6367,0.7958,1.3044,56.1778,59.5281,0.367573,0.8999,0.0375,0.4891,-0.3782,523.6066,-29.3979,-26.6329,0.7039,0.7775,43.6591,48.2183,62.0245,62.0153,0.3491,0.3856,21.6515,23.9125,0.366366,0.5582,0.0040,0.0521,3.4304,232.4040,-27.6718,-27.2999,0.9012,1.1516,17.1511,22.9220,19.0321,19.9041,169.8007945,212.9953769,3240.868722,4235.419783,0.367771,0.4518,0.9659,12.6068,1.2182,339.5270,-28.5039,-27.1403,0.5885,0.74777,14.10094,21.33428,23.96018,28.5307,101.955574,132.144036,2442.692846,3763.931488,0.36694,0.4910,0.8844474,11.5433159,271.75637,345.1394129,5683.56157,7999.351271,112.00000,28.00000,625.20000,156.30000,117.20170,29.30043,49.59218,12.39805,18842.26001,4710.56500,18495.2829,4623.820725,17324.06273,4331.015683,17671.03985,4417.759963,2.129576356,27.7940474,8453.6091025,352.9453,
B2,C,ErM,1.0000,0.0000,0.0000,98.0000,0.0750,5.0100,4.8400,0.2861,0.7476,1.7476,-0.0140,0.0480,0.3000,0.6990,1.6990,8.2187,7.9788,352.9052,622.5634,-4.5519,423.3805,-31.2207,-33.2940,0.8490,1.0974,48.3610,47.7436,56.9610,43.5075,0.2649,0.3424,15.0886,14.8960,0.364934,0.5210,0.0001,0.1824,-5.4758,531.2082,-30.3202,-32.2442,0.4346,0.4229,48.3191,53.3487,111.1914,126.1597,0.2068,0.2013,22.9999,25.3940,0.364596,0.5602,0.0001,0.1344,3.6842,1289.6024,-30.2473,-28.6817,0.6114,0.7578,45.0691,50.7932,73.7146,67.0282,1.5445,1.9143,113.8494,128.3092,0.367952,0.8348,0.0023,3.0512,10.4021,131.8002,-29.3154,-27.4332,0.5811,0.7771,45.9379,45.0239,79.0471,57.9368,0.9194,1.2294,72.6731,71.2272,0.37033,0.4150,0.0001,0.1876,3.3747,131.3736,-27.5189,-27.4361,0.3450,0.3954,7.2287,10.7202,20.9519,27.1139,114.5316336,119.3601854,2390.156117,3230.193696,0.367751,0.4149,0.0144,19.2029,0.7654,136.6289,-27.9750,-28.4653,0.0993,0.08193,2.62448,2.72148,26.43150,33.2155,52.63848684,45.88265615,1378.387207,1512.615038,0.366774,0.4168,0.0058775,7.8366884,167.17012,165.2428416,3768.54332,4742.808734,31.20000,7.80000,47.60000,11.90000,252.61073,63.15268,158.19843,39.54961,33196.61273,8299.15318,30188.72613,7547.181533,53014.89258,13253.72315,56022.77919,14005.6948,0.022946350,30.5951334,4982.6350871,168.9302,
